store,city,category_name,category_id,product_id,product_name,brand,price_kzt,price_kzt_clean,price_kzt_is_outlier_iqr,currency,unit,pack_qty,pack_unit,source,scraped_at,is_scraped_at_missing,is_stale,dataset,pipeline_run_at_utc
arbuz,astana,Новый год,224993,253199,Приправа Kotanyi для греческого салата 13 г,Kotanyi,500.0,500.0,False,KZT,г,13.0,г,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,253201,Приправа Kotanyi для салата Цезарь 13 г,Kotanyi,555.0,555.0,False,KZT,г,13.0,г,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,252534,Чеснок Vegeta Natur гранулированный 15 г,Vegeta,426.0,426.0,False,KZT,г,15.0,г,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,234538,"Хлебцы Здорово гречневые, 100 г",Здорово,585.0,585.0,False,KZT,г,100.0,г,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,19445,"Бананы, кг",Unknown,1165.0,1165.0,False,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,224493,"Напиток Holiday лимонад газированный, 1 л",Holiday,655.0,655.0,False,KZT,л,1.0,л,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334212,"Адвент-календарь Riegelein шоколадный, 65 г",Riegelein,1499.0,1499.0,False,KZT,г,65.0,г,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,333216,Подарочный набор Kerasys Proactive Man цитрус шампунь 400 мл + гель для душа 500 мл,Kerasys,9270.0,6558.0,True,KZT,мл,400.0,мл,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,333217,Подарочный набор Kerasys Proactive Man лайм шампунь 400 мл + гель для душа 500 мл,Kerasys,9270.0,6558.0,True,KZT,мл,400.0,мл,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334643,Дед Мороз музыкальный,Unknown,15875.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334645,Шары новогодние бархат 3 шт,Unknown,1375.0,1375.0,False,KZT,шт,3.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334646,Мешок для подарка 30 см,Unknown,937.0,937.0,False,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334647,Шары новогодние в ассортименте в тубе 24 шт,Unknown,7375.0,6558.0,True,KZT,шт,24.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334648,Снеговик в корзине,Unknown,8125.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334650,Шары новогодние снежинка голубая (небьющиеся) 14 шт,Unknown,11125.0,6558.0,True,KZT,шт,14.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334652,Шары новогодние снеговик (небьющиеся) 14 шт,Unknown,11125.0,6558.0,True,KZT,шт,14.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334653,Шары новогодние Merry Christmas (небьющиеся) 14 шт,Unknown,11125.0,6558.0,True,KZT,шт,14.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334654,"Шары новогодние зеленый лес (небьющиеся), 14 шт",Unknown,11125.0,6558.0,True,KZT,шт,14.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334656,Шары в ассортименте синие (коробка) 24 шт,Unknown,7375.0,6558.0,True,KZT,шт,24.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334657,Шары в ассортименте белые 24 шт,Unknown,7375.0,6558.0,True,KZT,шт,24.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334659,Игрушки новогодние синие (прозрачная коробка) 6 шт,Unknown,3250.0,3250.0,False,KZT,шт,6.0,шт,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334663,Игрушка новогодняя Снеговик на санях,Unknown,13750.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,334666,Елка снежная 180 см (модель 917),Unknown,65000.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,246927,"Гирлянда новогодняя Звездочка прозрачная 2,5 м",Unknown,8000.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,300319,"Елочная игрушка Hygge House деревянная, санта на санях с фонариками",Hygge House,2960.0,2960.0,False,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,300321,Елочная игрушка Hygge House Санта и олень,Hygge House,2960.0,2960.0,False,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,300788,Елка Hygge House деревянная высота 55 см,Hygge House,9860.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,246932,Гирлянда новогодняя шары Led 50 Digital Light Series,Unknown,9500.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,282035,Елка зеленая заснеженная искусственная 120 см,Unknown,38825.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
arbuz,astana,Новый год,224993,282036,Елка зеленая заснеженная искусственная 180 см,Unknown,97645.0,6558.0,True,KZT,unknown,,,arbuz.kz,,True,False,arbuz,2025-12-25T20:16:24.130536+00:00
