store,city,category_name,category_url,product_id,product_name,brand,price_kzt,currency,unit,source,scraped_at
vkusmart,astana,Подарочные корзины,https://vkusmart.vmv.kz/catalog/podarochnye-korziny_1/,180238,Корзина Подарочная арт20000,,20000,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:39.449197+00:00
vkusmart,astana,Подарочные корзины,https://vkusmart.vmv.kz/catalog/podarochnye-korziny_1/,184073,Корзина Подарочная арт40000,,40000,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:39.449197+00:00
vkusmart,astana,Подарочные корзины,https://vkusmart.vmv.kz/catalog/podarochnye-korziny_1/,184072,Корзина Подарочная арт30000,,30000,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:39.449197+00:00
vkusmart,astana,Ягоды,https://vkusmart.vmv.kz/catalog/yagody_1/,177997,Виноград Черный кг,,2275,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:40.257070+00:00
vkusmart,astana,Ягоды,https://vkusmart.vmv.kz/catalog/yagody_1/,174853,Виноград импортный красный кг,,1400,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:40.257070+00:00
vkusmart,astana,Ягоды,https://vkusmart.vmv.kz/catalog/yagody_1/,94196,Персик импортный кг,,2530,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:40.257070+00:00
vkusmart,astana,Ягоды,https://vkusmart.vmv.kz/catalog/yagody_1/,94152,Нектарин импортный кг,,1770,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:40.257070+00:00
vkusmart,astana,Ягоды,https://vkusmart.vmv.kz/catalog/yagody_1/,93855,Виноград зеленый кг,,1715,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:40.257070+00:00
vkusmart,astana,Ягоды,https://vkusmart.vmv.kz/catalog/yagody_1/,14973,Виноград Дамские Пальчики кг,,2275,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:40.257070+00:00
vkusmart,astana,Ягоды,https://vkusmart.vmv.kz/catalog/yagody_1/,174877,Виноград импортный зеленый кг,,3800,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:40.257070+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,189686,Клементин шт,,1845,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,185899,Помело Желтое Premium шт,,2925,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,164901,Яблоко Айдаред кг,,990,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94446,Яблоки Муцу кг,,1115,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94439,Яблоки Белый налив кг,,1490,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94428,Яблоки Семиренко кг,,915,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94424,Яблоки Галла кг,,1100,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94400,Хурма кг,,1465,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94343,Свити кг,,2530,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94207,Помело Желтое шт,,1615,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94118,Маракуйя шт,,955,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94111,Мандарины Медовка кг,,1590,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94090,Манго Premium шт,,5970,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,94055,Лонган шт,,1770,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,93997,Киви корзинка шт,,1040,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,93996,Киви кг,,2020,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,93914,Груша Конференция кг,,2190,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,93902,Груша Лесная красавица кг,,1490,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,93882,Гранат Узбекистан кг,,1895,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Фрукты,https://vkusmart.vmv.kz/catalog/frukty_1/,93863,Глаз дракона шт,,1770,KZT,/шт,vkusmart.vmv.kz,2025-12-24T18:50:41.508177+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,171262,Тыква кг,,555,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,165130,Помидоры Кумато кг,,3250,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,94251,Редька Зеленая кг,,640,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,94233,Помидоры Органза кг,,3065,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,94215,Помидоры кг,,1190,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,94190,Перец Ласточка кг,,2200,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,94177,Перец Светофор Микс кг,,2850,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
vkusmart,astana,Овощи,https://vkusmart.vmv.kz/catalog/ovoshchi_1/,94157,Огурцы Миринда кг,,2065,KZT,/кг,vkusmart.vmv.kz,2025-12-24T18:50:43.005568+00:00
