store,city,category_name,category_id,product_id,product_name,brand,price_kzt,currency,unit,source
arbuz,astana,Новый год,224993,253199,Приправа Kotanyi для греческого салата 13 г,Kotanyi,500,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,253201,Приправа Kotanyi для салата Цезарь 13 г,Kotanyi,555,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,252534,Чеснок Vegeta Natur гранулированный 15 г,Vegeta,426,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,234538,"Хлебцы Здорово гречневые, 100 г",Здорово,585,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,19445,"Бананы, кг",,1165,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,224493,"Напиток Holiday лимонад газированный, 1 л",Holiday,655,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334212,"Адвент-календарь Riegelein шоколадный, 65 г",Riegelein,1499,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,333216,Подарочный набор Kerasys Proactive Man цитрус шампунь 400 мл + гель для душа 500 мл,Kerasys,9270,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,333217,Подарочный набор Kerasys Proactive Man лайм шампунь 400 мл + гель для душа 500 мл,Kerasys,9270,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334643,Дед Мороз музыкальный,,15875,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334645,Шары новогодние бархат 3 шт,,1375,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334646,Мешок для подарка 30 см,,937,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334647,Шары новогодние в ассортименте в тубе 24 шт,,7375,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334648,Снеговик в корзине,,8125,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334650,Шары новогодние снежинка голубая (небьющиеся) 14 шт,,11125,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334652,Шары новогодние снеговик (небьющиеся) 14 шт,,11125,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334653,Шары новогодние Merry Christmas (небьющиеся) 14 шт,,11125,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334654,"Шары новогодние зеленый лес (небьющиеся), 14 шт",,11125,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334656,Шары в ассортименте синие (коробка) 24 шт,,7375,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334657,Шары в ассортименте белые 24 шт,,7375,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334659,Игрушки новогодние синие (прозрачная коробка) 6 шт,,3250,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334663,Игрушка новогодняя Снеговик на санях,,13750,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,334666,Елка снежная 180 см (модель 917),,65000,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,246927,"Гирлянда новогодняя Звездочка прозрачная 2,5 м",,8000,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,300319,"Елочная игрушка Hygge House деревянная, санта на санях с фонариками",Hygge House,2960,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,300321,Ёлочная игрушка Hygge House Санта и олень,Hygge House,2960,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,300788,Елка Hygge House деревянная высота 55 см,Hygge House,9860,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,246932,Гирлянда новогодняя шары Led 50 Digital Light Series,,9500,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,282035,Елка зеленая заснеженная искусственная 120 см,,38825,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,282036,Елка зеленая заснеженная искусственная 180 см,,97645,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,246936,Гирлянда новогодняя Футбольные Мячи разноцветная 3 м,,2000,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,246942,Гирлянда новогодняя Дюралайд,,3000,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,283808,Игрушки елочные подвесные 5-6 см 32 шт,,19120,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,282082,Игрушки Merry Cristmas новогодние белые 8 см 14 шт,,12070,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,281330,Игрушка Дед Мороз бежевый 60 см,,20345,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,281332,Венок новогодний с шишками,,10540,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,281333,"Венок новогодний, серебренный",,8625,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,282073,Игрушка Дед Мороз 30 см,,10390,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,282722,Игрушка Дед Мороз в красной шубе с посохом 27 см,,8305,KZT,,arbuz.kz
arbuz,astana,Новый год,224993,283813,Игрушка Дед Мороз красная 31 см,,5000,KZT,,arbuz.kz
arbuz,astana,"Овощи, фрукты, зелень",225164,242771,"Капуста краснокочанная, кг",,625,KZT,,arbuz.kz
arbuz,astana,"Овощи, фрукты, зелень",225164,313496,"Картофель City garden очищенный, шт",City garden,1155,KZT,,arbuz.kz
